time,seconds_elapsed,dBFS
1708009821289000000,0.071,-160
1708009821437000000,0.219,-125
1708009821545000000,0.327,-113
1708009821661000000,0.443,-113
1708009821776000000,0.558,-111
1708009821894000000,0.676000244140625,-69
1708009822010000000,0.791999755859375,-86
1708009822125000000,0.907,-72
1708009822240000000,1.022,-36
1708009822357000000,1.139,-38
1708009822478000000,1.260000244140625,-57
1708009822589000000,1.371,-50
1708009822705000000,1.487,-80
1708009822821000000,1.603,-43
1708009822937000000,1.719,-51
1708009823053000000,1.835,-56
1708009823169000000,1.951,-59
1708009823286000000,2.068000244140625,-59
1708009823402000000,2.183999755859375,-58
1708009823518000000,2.300000244140625,-53
1708009823633000000,2.415,-48
1708009823750000000,2.532000244140625,-56
1708009823865000000,2.647,-56
1708009823982000000,2.764000244140625,-52
1708009824099000000,2.881,-49
1708009824214000000,2.996000244140625,-81
1708009824329000000,3.111,-93
1708009824447000000,3.229,-103
1708009824561000000,3.343,-97
1708009824679000000,3.461,-93
1708009824794000000,3.575999755859375,-65
1708009824897000000,3.679,-60
1708009825009000000,3.791,-66
1708009825125000000,3.907,-56
1708009825241000000,4.023,-58
1708009825358000000,4.140000244140625,-63
1708009825474000000,4.255999755859375,-61
1708009825589000000,4.371,-61
1708009825706000000,4.487999755859375,-73
1708009825822000000,4.604000244140625,-109
1708009825938000000,4.719999755859375,-117
1708009826054000000,4.836000244140625,-109
1708009826170000000,4.951999755859375,-116
1708009826285000000,5.067,-111
1708009826401000000,5.183,-113
1708009826517000000,5.299,-114
1708009826633000000,5.415,-117
1708009826748000000,5.53,-117
1708009826865000000,5.647,-111
1708009826980000000,5.762,-115
1708009827097000000,5.879,-115
1708009827213000000,5.995,-114
1708009827319000000,6.101,-116
1708009827430000000,6.212000244140625,-117
1708009827547000000,6.329,-114
1708009827664000000,6.446,-113
1708009827780000000,6.562,-112
1708009827898000000,6.679999755859375,-104
1708009828012000000,6.794,-110
1708009828130000000,6.911999755859375,-104
1708009828247000000,7.029,-100
1708009828358000000,7.140000244140625,-99
1708009828474000000,7.255999755859375,-110
1708009828591000000,7.373,-113
1708009828708000000,7.49,-116
1708009828824000000,7.606,-111
1708009828941000000,7.723,-112
1708009829059000000,7.841,-115
1708009829175000000,7.957,-117
1708009829290000000,8.071999755859375,-116
1708009829402000000,8.183999755859375,-116
1708009829519000000,8.301,-117
1708009829635000000,8.417,-119
1708009829753000000,8.535,-116
1708009829869000000,8.651,-117
1708009829985000000,8.767,-115
1708009830102000000,8.884000244140625,-113
1708009830218000000,8.999999755859376,-114
1708009830335000000,9.117,-116
1708009830446000000,9.228000244140626,-118
1708009830564000000,9.346,-117
1708009830679000000,9.461,-117
1708009830796000000,9.578,-102
1708009830914000000,9.695999755859376,-118
1708009831031000000,9.813,-114
1708009831147000000,9.929,-116
1708009831262000000,10.044000244140625,-107
1708009831374000000,10.156000244140625,-115
1708009831490000000,10.271999755859374,-116
1708009831607000000,10.389,-113
1708009831723000000,10.505,-116
1708009831840000000,10.622,-115
1708009831958000000,10.740000244140624,-113
1708009832073000000,10.855,-113
1708009832190000000,10.972000244140625,-110
1708009832307000000,11.089,-116
1708009832417000000,11.199,-116
1708009832535000000,11.317,-115
1708009832652000000,11.434,-116
1708009832770000000,11.551999755859375,-111
1708009832886000000,11.668000244140625,-117
1708009833001000000,11.783,-116
1708009833118000000,11.900000244140625,-107
1708009833235000000,12.017,-106
1708009833352000000,12.134,-115
1708009833463000000,12.245,-105
1708009833579000000,12.361,-118
1708009833696000000,12.478,-114
1708009833813000000,12.595,-113
1708009833930000000,12.711999755859376,-120
1708009834046000000,12.828000244140625,-115
1708009834162000000,12.943999755859375,-119
1708009834279000000,13.061,-113
1708009834408000000,13.19,-113
1708009834523000000,13.305,-107
1708009834640000000,13.422,-117
1708009834756000000,13.538,-116
1708009834873000000,13.655,-115
1708009834990000000,13.772000244140624,-114
1708009835109000000,13.891,-118
1708009835225000000,14.007,-114
1708009835341000000,14.123,-106
1708009835452000000,14.234,-107
1708009835568000000,14.35,-119
1708009835684000000,14.466,-117
1708009835801000000,14.583,-103
1708009835917000000,14.699,-114
1708009836035000000,14.817,-117
1708009836152000000,14.934,-113
1708009836267000000,15.049,-116
1708009836384000000,15.166,-116
1708009836496000000,15.278,-114
1708009836611000000,15.393,-105
1708009836728000000,15.51,-113
1708009836845000000,15.627,-116
1708009836962000000,15.743999755859376,-117
1708009837078000000,15.860000244140625,-117
1708009837195000000,15.977,-116
1708009837312000000,16.094,-113
1708009837439000000,16.221,-113
1708009837556000000,16.338,-107
1708009837673000000,16.455,-116
1708009837789000000,16.571,-115
1708009837906000000,16.687999755859376,-116
1708009838023000000,16.805,-113
1708009838141000000,16.923,-117
1708009838257000000,17.039,-114
1708009838373000000,17.155,-112
1708009838485000000,17.267,-110
1708009838600000000,17.382,-114
1708009838717000000,17.499,-107
1708009838834000000,17.615999755859374,-120
1708009838951000000,17.733,-116
1708009839068000000,17.85,-112
1708009839183000000,17.965,-113
1708009839301000000,18.083,-105
1708009839417000000,18.199,-104
1708009839528000000,18.31,-115
1708009839644000000,18.426,-113
1708009839762000000,18.543999755859375,-112
1708009839880000000,18.662,-116
1708009839996000000,18.778,-116
1708009840112000000,18.894,-114
1708009840229000000,19.011,-114
1708009840346000000,19.127999755859374,-109
1708009840456000000,19.238,-114
1708009840573000000,19.355,-106
1708009840689000000,19.471,-106
1708009840807000000,19.589,-107
1708009840921000000,19.703,-107
1708009841037000000,19.819,-112
1708009841153000000,19.935,-99
1708009841268000000,20.05,-104
1708009841385000000,20.167,-88
